ds;Humidity (%);Temperature (°C);External Temp(°C)
04/02/2024 10:25;61,2;3;29,5
04/02/2024 11:26;64,4;5;29,44
04/02/2024 12:27;64,9;24;29,5
04/02/2024 13:28;87;19;29,5
04/02/2024 14:29;74;14;29,5
04/02/2024 15:30;78;1;29,5
04/02/2024 16:31;79;18;29,5
04/02/2024 17:32;80;4;29,5
04/02/2024 18:33;83;6;29,5
04/02/2024 19:34;84;18;29,5
04/02/2024 20:35;77;15;29,5
04/02/2024 21:25;80;16;29,5
04/02/2024 22:25;42;28;29,44
04/02/2024 23:25;78;3;29,5
05/02/2024 00:25;83;2;29,44
05/02/2024 01:25;80;16;29,5
05/02/2024 02:25;70;2;29,5
05/02/2024 03:25;73;1;29,44
05/02/2024 04:25;80;6;29,5
05/02/2024 05:25;74;20;29,44
05/02/2024 06:25;76;3;29,44
05/02/2024 07:25;75;4;29,5
05/02/2024 08:25;78;3;29,5
05/02/2024 09:25;80;2;29,5
05/02/2024 10:25;82;2;29,44
05/02/2024 11:25;75;1;29,5
05/02/2024 12:25;78;3;29,5
05/02/2024 13:25;70;6;29,44
05/02/2024 14:25;69;4;29,44
05/02/2024 15:25;74;5;29,5
05/02/2024 16:25;80;6;29,5
05/02/2024 17:25;78;1;29,44
05/02/2024 18:25;80;4;29,44
05/02/2024 19:25;81;0;29,38
05/02/2024 20:25;76;1;29,44
05/02/2024 21:25;79;2;29,44
05/02/2024 22:25;84;0;29,44
05/02/2024 23:25;85;5;29,44
06/02/2024 00:25;75;4;29,38
06/02/2024 01:25;76;3;29,38
06/02/2024 02:25;77;1;29,44
06/02/2024 03:25;84;2;29,38
06/02/2024 04:25;75;3;29,38
06/02/2024 05:25;76;0;29,44
06/02/2024 06:25;78;4;29,38
06/02/2024 07:25;80;5;29,38
06/02/2024 08:25;85;6;29,38
06/02/2024 09:25;76;7;29,38
06/02/2024 10:25;78;8;29,31
06/02/2024 11:25;79;4;29,31
06/02/2024 12:28;50;25;29,19
06/02/2024 13:25;76;2;29,06
06/02/2024 14:25;78;1;29
06/02/2024 15:25;75;0;28,94
06/02/2024 16:25;80;2;28,81
06/02/2024 17:25;75;1;28,75
06/02/2024 18:25;76;3;28,69
06/02/2024 19:25;77;5;28,63
06/02/2024 20:25;80;24;28,5
06/02/2024 21:25;83;2;28,44
06/02/2024 22:25;76;1;28,38
06/02/2024 23:25;74;6;28,38
07/02/2024 00:25;70;4;28,31
07/02/2024 01:25;71;3;28,31
07/02/2024 02:25;72;1;28,38
07/02/2024 03:25;73;2;28,44
07/02/2024 04:25;74;4;28,5
07/02/2024 05:25;75;5;28,56
07/02/2024 06:25;78;6;28,63
07/02/2024 07:25;80;15;28,63
07/02/2024 08:25;92,6;21;28,56
07/02/2024 09:25;63,1;2;28,56
07/02/2024 10:25;63,5;0;28,63
07/02/2024 11:25;63,1;5;28,63
07/02/2024 12:25;60,9;4;28,63
07/02/2024 13:25;58,6;3;28,63
07/02/2024 14:25;57,3;1;28,56
07/02/2024 15:25;55,8;2;28,56
07/02/2024 16:25;54,8;3;28,56
07/02/2024 17:25;53,6;0;28,5
07/02/2024 18:25;52,5;4;28,44
07/02/2024 19:25;51,7;5;28,44
07/02/2024 20:25;51,3;6;28,38
07/02/2024 21:25;50,5;7;28,31
07/02/2024 22:25;50,2;8;28,31
07/02/2024 23:25;49,5;10;28,25
08/02/2024 00:25;49,5;3;28,25
08/02/2024 01:25;48,7;2;28,31
08/02/2024 02:25;48,2;1;28,25
08/02/2024 03:25;47,5;0;28,19
08/02/2024 04:25;47,2;2;28,13
08/02/2024 05:25;46,8;1;28,13
08/02/2024 06:25;46,5;3;28,06
08/02/2024 07:25;46,1;5;28,06
08/02/2024 08:25;45,7;4;28,06
08/02/2024 09:25;45,3;2;28
08/02/2024 10:25;45,1;1;27,94
08/02/2024 11:25;49,5;6;28
08/02/2024 12:25;49,5;4;27,94
08/02/2024 13:25;49,5;3;28
08/02/2024 14:25;49,6;1;28
08/02/2024 15:25;49,6;2;28
08/02/2024 16:25;49,7;4;27,94
08/02/2024 17:25;49,5;5;27,94
08/02/2024 18:25;49;6;27,94
08/02/2024 19:25;48,9;5;28
08/02/2024 20:25;63,1;4;28
08/02/2024 21:25;62;7;28,19
08/02/2024 22:25;66,1;2;28,38
08/02/2024 23:25;62,1;3;28,44
09/02/2024 00:25;62,1;5;28,5
09/02/2024 01:25;62,1;4;28,56
09/02/2024 02:25;62,1;0;28,56
09/02/2024 03:25;85;13;28,63
09/02/2024 04:25;61,8;1;28,63
09/02/2024 05:25;62;2;28,63
09/02/2024 06:25;61,5;4;28,69
09/02/2024 07:25;62;6;28,69
09/02/2024 08:25;61,9;8;28,69
09/02/2024 09:25;61,3;4;28,69
09/02/2024 10:25;61,2;6;28,75
09/02/2024 11:25;61;5;28,81
09/02/2024 12:25;60,9;3;28,81
09/02/2024 13:25;61;2;28,81
09/02/2024 14:25;60,9;4;28,81
09/02/2024 15:25;60,9;2;28,75
09/02/2024 16:25;61;1;28,81
09/02/2024 17:25;60,9;6;28,88
09/02/2024 18:24;61,4;5;28,88
09/02/2024 19:24;60,7;3;28,94
09/02/2024 20:24;60,6;4;28,94
09/02/2024 21:24;90;14;28,88
09/02/2024 22:24;60;2;28,94
09/02/2024 23:24;60,2;2;28,94
10/02/2024 00:24;60,3;1;29
10/02/2024 01:24;60,7;3;29
10/02/2024 02:24;60,6;6;29,06
10/02/2024 03:24;60,5;4;29,13
10/02/2024 04:24;60,2;5;29,13
10/02/2024 05:24;60,4;6;29,13
10/02/2024 06:24;59,9;1;29,13
10/02/2024 07:24;60,1;4;29,19
10/02/2024 08:24;59,9;0;29,19
10/02/2024 09:24;60;1;29,19
10/02/2024 10:24;59,8;2;29,25
10/02/2024 11:24;59,7;0;29,19
10/02/2024 12:24;59,5;5;29,25
10/02/2024 13:24;59,5;4;29,25
10/02/2024 14:24;59,4;3;29,25
10/02/2024 15:24;59,3;1;29,31
10/02/2024 16:24;59,4;2;29,31
10/02/2024 17:24;59,1;3;29,25
10/02/2024 18:24;58,9;0;29,31
10/02/2024 19:24;58,9;4;29,31
10/02/2024 20:24;58,9;5;29,31
10/02/2024 21:24;58,8;6;29,31
10/02/2024 22:24;59;7;29,31
10/02/2024 23:24;58,9;8;29,31
11/02/2024 00:24;58,9;4;29,31
11/02/2024 01:24;58,8;3;29,38
11/02/2024 02:24;58,8;2;29,44
11/02/2024 03:24;58,9;1;29,44
11/02/2024 04:24;58,4;8;29,25
11/02/2024 05:24;58,4;2;29,06
11/02/2024 06:24;58,5;1;28,81
11/02/2024 07:24;58,7;3;28,5
11/02/2024 08:24;58,9;5;28,25
11/02/2024 09:24;59,3;4;28,06
11/02/2024 10:24;58,6;2;27,81
11/02/2024 11:24;58,2;1;27,5
11/02/2024 12:24;57,8;6;27,13
11/02/2024 13:24;57,5;4;26,88
11/02/2024 14:24;57,1;3;26,56
11/02/2024 15:24;56,8;1;26,38
11/02/2024 16:24;56,6;2;26,13
11/02/2024 17:24;56,5;4;25,88
11/02/2024 18:24;55,9;5;25,69
11/02/2024 19:24;56;6;25,56
11/02/2024 20:24;55,9;5;25,44
11/02/2024 21:24;56,4;4;25,38
11/02/2024 22:24;57,1;7;25,38
11/02/2024 23:24;57,2;2;25,44
12/02/2024 00:24;57,5;3;25,38
12/02/2024 01:24;57,5;5;25,44
12/02/2024 02:24;57,7;4;25,44
12/02/2024 03:24;57;0;25,31
12/02/2024 04:24;57;3;25,19
12/02/2024 05:24;56,8;1;25,06
12/02/2024 06:24;56,4;2;25
12/02/2024 07:24;56,2;4;24,94
12/02/2024 08:24;56,5;6;24,81
12/02/2024 09:24;56,5;8;24,75
12/02/2024 10:24;56,7;4;24,81
12/02/2024 11:24;57,1;6;24,81
12/02/2024 12:24;57,4;5;24,81
12/02/2024 13:24;57,5;3;24,81
12/02/2024 14:24;58;2;24,94
12/02/2024 15:24;57,8;4;24,94
12/02/2024 16:24;57,6;2;24,94
12/02/2024 17:24;57;1;24,88
12/02/2024 18:24;56,8;6;24,81
12/02/2024 19:24;56,8;5;24,69
12/02/2024 20:24;57,4;3;24,75
12/02/2024 21:24;58,3;4;24,88
12/02/2024 22:24;58,2;3;24,94
12/02/2024 23:24;58,5;2;25
13/02/2024 00:24;58,5;5;25,06
13/02/2024 01:24;58,3;10;25
13/02/2024 02:24;58,2;4;25
13/02/2024 03:24;57,7;9;24,94
13/02/2024 04:24;57,6;3;24,88
13/02/2024 05:24;57,7;6;24,75
13/02/2024 06:24;58,4;10;24,75
13/02/2024 07:24;58,1;8;24,81
13/02/2024 08:24;57,6;5;24,75
13/02/2024 09:24;57,2;7;24,63
13/02/2024 10:24;56,8;1;24,56
13/02/2024 11:24;56,4;2;24,44
13/02/2024 12:24;56,5;1;24,38
13/02/2024 13:24;57,9;4;24,44
13/02/2024 14:24;58,7;7;24,56
13/02/2024 15:24;59,6;9;24,69
13/02/2024 16:24;59,8;1;24,81
13/02/2024 17:24;60,7;4;24,94
13/02/2024 18:24;61,4;3;25,13
13/02/2024 19:24;61,9;2;25,31
13/02/2024 20:24;62,2;10;25,5
13/02/2024 21:24;62,8;12;25,69
13/02/2024 22:24;62,7;6;25,75
13/02/2024 23:24;53;27;25,88
14/02/2024 00:24;63,2;28;25,88
14/02/2024 01:24;63,7;39;26,13
14/02/2024 02:24;63,8;30;26,19
14/02/2024 03:24;62,2;37;26,25
14/02/2024 04:24;61,5;35;26,25
14/02/2024 05:24;60,7;38;26,19
14/02/2024 06:24;60,5;39;26,25
14/02/2024 07:24;60,5;37;26,25
14/02/2024 08:24;60,5;40;26,13
14/02/2024 09:24;60,4;33;26,06
14/02/2024 10:24;60,4;29;26,13
14/02/2024 11:24;60,3;28;26
14/02/2024 12:24;60,3;35;25,81
14/02/2024 13:24;59,5;25;25,56
14/02/2024 14:24;58,9;25;25,38
14/02/2024 15:24;58,6;33;25,19
14/02/2024 16:24;58,4;36;25,06
14/02/2024 17:24;58;30;24,88
14/02/2024 18:24;57,8;40;24,75
14/02/2024 19:24;57,5;35;24,63
14/02/2024 20:24;57,5;32;24,56
14/02/2024 21:24;57,5;31;24,5
14/02/2024 22:24;57,2;37;24,44
14/02/2024 23:24;56,8;35;24,38
15/02/2024 00:24;57;38;24,38
15/02/2024 01:24;57,8;34;24,5
15/02/2024 02:24;59,3;39;24,75
15/02/2024 03:24;59,6;30;25
15/02/2024 04:24;59,6;40;25,19
15/02/2024 05:24;61,4;38;25,63
15/02/2024 06:24;64,1;34;26,25
15/02/2024 07:24;65,1;25;26,75
15/02/2024 08:24;65,1;28;27,19
15/02/2024 09:24;65,1;29;27,5
15/02/2024 10:24;65,2;30;27,75
15/02/2024 11:24;65,2;28;27,94
15/02/2024 12:24;64,9;35;28,06
15/02/2024 13:24;65,1;45;28,19
15/02/2024 14:24;64,8;43;28,31
15/02/2024 15:24;64,7;37;28,38
15/02/2024 16:24;64,6;29;28,38
15/02/2024 17:24;64,2;28;28,44
15/02/2024 18:24;64,2;25;28,5
15/02/2024 19:24;64,3;26;28,56
15/02/2024 20:24;64,2;45;28,63
15/02/2024 21:24;64,3;33;28,69
15/02/2024 22:24;64,4;35;28,75
15/02/2024 23:24;64,5;33;28,81
16/02/2024 00:24;64,2;32;28,81
16/02/2024 01:24;64;37;28,88
16/02/2024 02:24;63,5;36;28,94
16/02/2024 03:24;63,2;28;28,94
16/02/2024 04:24;63;25;29
16/02/2024 05:24;62,7;29;29,06
16/02/2024 06:24;62,5;33;29,13
16/02/2024 07:24;62,3;26;29,13
16/02/2024 08:24;62,3;28;29,13
16/02/2024 09:24;62,3;32;29,19
16/02/2024 10:24;62,3;30;29,13
16/02/2024 11:24;62,4;29;29,19
16/02/2024 12:24;62,4;28;29,25
16/02/2024 13:24;62,5;25;29,25
16/02/2024 14:24;62,5;26;29,31
16/02/2024 15:24;62,6;28;29,38
16/02/2024 16:24;62,6;30;29,38
16/02/2024 17:24;62,4;28;29,44
16/02/2024 18:24;61,9;29;29,44
16/02/2024 19:24;61,6;33;29,5
16/02/2024 20:24;61,9;25;29,5
16/02/2024 21:24;62,1;28;29,5
16/02/2024 22:24;62,2;33;29,44
16/02/2024 23:24;61,9;35;29,44
17/02/2024 00:24;61,7;27;29,44
17/02/2024 01:24;62,1;28;29,5
17/02/2024 02:24;62,4;34;29,5
17/02/2024 03:24;62,9;33;29,56
17/02/2024 04:24;62,3;29;29,56
17/02/2024 05:24;62,2;33;29,63
17/02/2024 06:24;62,2;25;29,69
17/02/2024 07:24;61,9;32;29,69
17/02/2024 08:24;61,6;30;29,75
17/02/2024 09:24;61,5;29;29,81
17/02/2024 10:24;61,1;35;29,81
17/02/2024 11:24;60,8;34;29,88
17/02/2024 12:24;60,7;29;29,88
17/02/2024 13:24;60,9;36;29,88
17/02/2024 14:24;61,2;35;29,88
17/02/2024 15:24;60,6;34;29,81
17/02/2024 16:24;61;18;30,5
17/02/2024 17:24;61;17;30,5
17/02/2024 18:24;61,1;19;30,56
17/02/2024 19:24;61,1;20;30,5
17/02/2024 20:24;61,4;17;30,56
17/02/2024 21:24;61,3;17;30,5
17/02/2024 22:24;61,1;18;30,56
17/02/2024 23:24;61,2;20;30,56
18/02/2024 00:24;61,1;19;30,56
18/02/2024 01:24;61,2;23;30,56
18/02/2024 02:24;61,1;22;30,5
18/02/2024 03:24;61,1;20;30,5
18/02/2024 04:24;61,3;19;30,56
18/02/2024 05:24;61,1;18;30,56
18/02/2024 06:24;61,4;19;30,56
18/02/2024 07:24;61,3;19;30,56
18/02/2024 08:24;61,3;18;30,56
18/02/2024 09:24;61,2;19;30,56
18/02/2024 10:24;61,4;17;30,56
18/02/2024 11:24;61,6;19;30,56
18/02/2024 12:24;61,4;19;30,63
18/02/2024 13:24;61,4;19;30,56
18/02/2024 14:24;61,4;22;30,56
18/02/2024 15:24;61,6;19;30,63
18/02/2024 16:24;61,7;18;30,63
18/02/2024 17:24;61,5;17;30,63
18/02/2024 18:24;61,6;18;30,63
18/02/2024 19:24;61,9;19;30,63
18/02/2024 20:24;61,7;17;30,56
18/02/2024 21:24;61,9;18;30,63
18/02/2024 22:24;61,8;17;30,63
18/02/2024 23:24;61,8;19;30,63
19/02/2024 00:24;61,8;18;30,69
19/02/2024 01:24;61,7;18;30,63
19/02/2024 02:24;61,7;15;30,69
19/02/2024 03:24;61,7;18;30,63
19/02/2024 04:24;61,7;17;30,69
19/02/2024 05:24;61,7;18;30,63
19/02/2024 06:24;61,7;18;30,69
19/02/2024 07:24;61,8;17;30,63
19/02/2024 08:24;61,8;18;30,69
19/02/2024 09:24;62;19;30,69
19/02/2024 10:24;62;17;30,69
19/02/2024 11:24;61,9;18;30,69
19/02/2024 12:24;62;17;30,69
19/02/2024 13:24;62;19;30,69
19/02/2024 14:24;62,1;18;30,69
19/02/2024 15:24;62;20;30,69
19/02/2024 16:24;62;15;30,75
19/02/2024 17:24;62,1;18;30,69
19/02/2024 18:24;61,8;17;30,69
19/02/2024 19:24;61,8;18;30,69
19/02/2024 20:24;61,8;19;30,69
19/02/2024 21:24;62;17;30,75
19/02/2024 22:24;61,9;18;30,75
19/02/2024 23:24;61,9;17;30,75
20/02/2024 00:24;61,9;19;30,75
20/02/2024 01:24;61,9;18;30,75
20/02/2024 02:24;61,7;20;30,75
20/02/2024 03:24;61,6;15;30,75
20/02/2024 04:24;61,7;18;30,75
20/02/2024 05:24;61,7;17;30,75
20/02/2024 06:24;61,7;18;30,75
20/02/2024 07:24;61,8;19;30,81
20/02/2024 08:24;61,8;17;30,81
20/02/2024 09:24;61,9;18;30,75
20/02/2024 10:24;61,8;17;30,81
20/02/2024 11:24;61,8;19;30,81
20/02/2024 12:24;61,8;18;30,81
20/02/2024 13:24;62;20;30,75
20/02/2024 14:24;61,9;15;30,75
20/02/2024 15:24;61,8;18;30,81
20/02/2024 16:24;61,8;17;30,81
20/02/2024 17:24;61,8;18;30,81
20/02/2024 18:24;61,8;19;30,81
20/02/2024 19:24;62;17;30,81
20/02/2024 20:24;61,8;18;30,81
20/02/2024 21:24;61,8;17;30,81
20/02/2024 22:24;62,1;19;30,81
20/02/2024 23:24;62,1;18;30,81
21/02/2024 00:24;62,1;20;30,88
21/02/2024 01:24;61,9;15;30,81
21/02/2024 02:24;61,9;18;30,81
21/02/2024 03:24;61,8;17;30,81
21/02/2024 04:24;61,8;18;30,81
21/02/2024 05:24;61,8;19;30,81
21/02/2024 06:24;61,8;17;30,81
21/02/2024 07:24;61,9;18;30,81
21/02/2024 08:24;61,8;17;30,81
21/02/2024 09:24;61,8;19;30,81
21/02/2024 10:24;61,8;18;30,81
21/02/2024 11:24;61,8;20;30,81
21/02/2024 12:24;61,8;15;30,88
21/02/2024 13:24;61,8;18;30,88
21/02/2024 14:24;61,8;17;30,88
21/02/2024 15:24;61,8;18;30,88
21/02/2024 16:24;61,9;19;30,88
21/02/2024 17:24;62;17;30,88
21/02/2024 18:24;62,1;18;30,88
21/02/2024 19:24;62;17;30,88
21/02/2024 20:24;61,9;19;30,88
21/02/2024 21:24;62,1;18;30,88
21/02/2024 22:24;62,1;20;30,88
21/02/2024 23:24;62,1;15;30,88
22/02/2024 00:24;62,1;18;30,88
22/02/2024 01:24;61,8;17;30,88
22/02/2024 02:24;61,8;18;30,88
22/02/2024 03:24;61,8;20;30,88
22/02/2024 04:24;61,8;19;30,88
22/02/2024 05:24;61,8;20;30,88
22/02/2024 06:24;61,7;5;30,88
22/02/2024 07:24;61,6;4;30,88
22/02/2024 08:24;61,5;1;30,88
22/02/2024 09:24;61,5;2;30,88
22/02/2024 10:24;62,5;3;30,88
22/02/2024 11:24;61,5;4;30,88
22/02/2024 12:24;61,8;5;30,88
22/02/2024 13:24;61,6;7;30,88
22/02/2024 14:24;61,4;8;30,88
22/02/2024 15:24;61,3;9;30,88
22/02/2024 16:24;61,3;22;30,88
22/02/2024 17:24;61,2;19;30,94
22/02/2024 18:24;61,2;22;30,94
22/02/2024 19:24;61,2;28;30,94
22/02/2024 20:24;61,3;24;30,94
22/02/2024 21:24;61,3;23;30,94
22/02/2024 22:24;61,4;22;30,94
22/02/2024 23:24;61,3;24;30,94
23/02/2024 00:24;61,4;24;30,94
23/02/2024 01:24;61,4;22;30,94
23/02/2024 02:24;61,3;21;30,94
23/02/2024 03:24;61,4;22;30,94
23/02/2024 04:24;61,5;25;30,94
23/02/2024 05:24;61,5;24;30,94
23/02/2024 06:24;61,6;25;30,94
23/02/2024 07:24;61,6;24;30,94
23/02/2024 08:24;61,5;23;30,94
23/02/2024 09:24;61,5;25;30,94
23/02/2024 10:24;61,4;27;30,94
23/02/2024 11:24;62;21;30,94
23/02/2024 12:24;61,2;25;30,94
23/02/2024 13:24;61,4;24;31
23/02/2024 14:24;61,1;23;31
23/02/2024 15:24;61,1;19;31
23/02/2024 16:24;61,3;18;31
23/02/2024 17:24;61,3;20;31,06
23/02/2024 18:24;60,8;22;31
23/02/2024 19:24;60,8;25;31
23/02/2024 20:24;61;23;31
23/02/2024 21:24;61,1;22;31
23/02/2024 22:24;60,7;6;31
23/02/2024 23:24;60,3;5;31
24/02/2024 00:24;60,3;4;31,06
24/02/2024 01:24;60,2;6;31,06
24/02/2024 02:24;60,3;1;31,06
24/02/2024 03:24;59,5;2;31,06
24/02/2024 04:24;59,7;4;31,06
24/02/2024 05:24;59,5;5;31,06
24/02/2024 06:24;59,7;4;31
24/02/2024 07:24;59,9;3;31,06
24/02/2024 08:24;60;2;31,06
24/02/2024 09:24;86;14;31,06
24/02/2024 10:24;86;13;31,06
24/02/2024 11:24;86;15;31,06
24/02/2024 12:24;86;17;31,06
24/02/2024 13:24;86;19;31,06
24/02/2024 14:24;86;15;31,06
24/02/2024 15:24;86;18;31,06
24/02/2024 16:24;86;14;31,06
24/02/2024 17:24;59,1;1;31,06
24/02/2024 18:24;59,2;6;31,06
24/02/2024 19:24;59,3;4;31,06
24/02/2024 20:24;35;28;31,06
24/02/2024 21:24;37;24;31,06
24/02/2024 22:24;38;26;31
24/02/2024 23:24;39;25;31,06
25/02/2024 00:24;40;23;31,06
25/02/2024 01:24;35;32;31,06
25/02/2024 02:24;36;34;31,06
25/02/2024 03:24;42;32;31,06
25/02/2024 04:24;40;33;31,13
25/02/2024 00:00;35;36;31,06
26/02/2024 07:40;25;28;31,13
26/02/2024 08:40;28;30;31,19
